ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 1
 path_based renewable label = 1


 (east, west, south, north, front, back, out, in, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, out, in, from host(vch2)0,.. to host(vch2)0,..
 Node  0:   0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 1
 Node  1:   1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0
 Node  2:   0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1
 Node  3:   0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 1 0 1 0 0
 Node  4:   0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1
 Node  5:   1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0
 Node  6:   0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1
 Node  7:   0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0
 Node  8:   0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1
 Node  9:   1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0
 Node 10:   0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1
 Node 11:   0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0
 Node 12:   0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 1
 Node 13:   1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 0
 Node 14:   0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1
 Node 15:   0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 1 0 1 0 0
 Node 16:   0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1
 Node 17:   1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0
 Node 18:   0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1
 Node 19:   0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 0 1 0 0
 Node 20:   0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1
 Node 21:   1 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0
 Node 22:   0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
 Node 23:   0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0
 Node 24:   0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1
 Node 25:   1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0
 Node 26:   0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
 Node 27:   0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0
 Node 28:   0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1
 Node 29:   1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0
 Node 30:   0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1
 Node 31:   0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0
 Node 32:   0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 1
 Node 33:   1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0
 Node 34:   0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 1
 Node 35:   0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 1 0 0
 Node 36:   0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1
 Node 37:   1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0
 Node 38:   0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1
 Node 39:   0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0
 Node 40:   0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1
 Node 41:   1 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0
 Node 42:   0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1
 Node 43:   0 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0
 Node 44:   0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 1 1
 Node 45:   1 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 0
 Node 46:   0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1
 Node 47:   0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0
 Node 48:   0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1
 Node 49:   1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0
 Node 50:   0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1
 Node 51:   0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 1 0 0
 Node 52:   0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1
 Node 53:   1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0
 Node 54:   0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1
 Node 55:   0 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0
 Node 56:   0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1
 Node 57:   1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0
 Node 58:   0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1
 Node 59:   0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0
 Node 60:   0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1
 Node 61:   1 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0
 Node 62:   0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1
 Node 63:   0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 1 0 0
 Node 64:   0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1 1
 Node 65:   1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0
 Node 66:   0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 1
 Node 67:   0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0
 Node 68:   0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1
